Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Lindahls Protein Kvarg Framboossmaak 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-kvarg-framboossmaak-450-g-699255POT,2025-12-09 15:42:46
Alpro Protein Tropical 200g,"€2,09",JA,"7,5 g","7,2 g","2,2 g",344 kJ / 82 kcal,https://www.jumbo.com/producten/alpro-protein-tropical-200g-603216CUP,2025-12-09 15:42:49
Chocomel Protein 4 x 300 ml,"€7,56",JA,,,,,https://www.jumbo.com/producten/chocomel-protein-4-x-300-ml-721750STK,2025-12-09 15:42:51
Melkunie Protein Strawberry Flavoured Quark 3x 200 g,"€4,77",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-flavoured-quark-3x-200-g-736566STK,2025-12-09 15:42:54
XXL Nutrition Instant Protein Oats Appel Kaneel 1KG,"€18,99",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-instant-protein-oats-appel-kaneel-1kg-699810ZK,2025-12-09 15:42:56
Nakd. Protein Caramel 3x45g,"€3,71",JA,17.0 g,33.2 g,21.3 g,1762.0 kJ,https://www.jumbo.com/producten/nakd-protein-caramel-3x45g-645666DS,2025-12-09 15:42:59
Coco Vite Eiwit 500 g,"€3,99",JA,10.9 g,0.7 g,0.2 g,201.0 kJ,https://www.jumbo.com/producten/coco-vite-eiwit-500-g-624271PAK,2025-12-09 15:43:01
Bolletje Protein & Low Carb Crackers 4 x 3 Stuks 190 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/bolletje-protein-low-carb-crackers-4-x-3-stuks-190-g-586568DS,2025-12-09 15:43:04
Muscle Meat Proteine Melk 1 L,"€2,95",JA,7.5 g,5.1 g,0.9 g,248 kJ | 59 kcal,https://www.jumbo.com/producten/muscle-meat-proteine-melk-1-l-679641PAK,2025-12-09 15:43:06
HAK Mexicaanse Chili Protein Bowl 555g,"€3,99",JA,6.4 g,10.3 g,2.1 g,393.0 kJ,https://www.jumbo.com/producten/hak-mexicaanse-chili-protein-bowl-555g-648355ZK,2025-12-09 15:43:09
Upfront Eiwit Milkshake Mango 330ML,"€2,29",JA,7.7 g,5.4 g,1.5 g,279.0 kJ,https://www.jumbo.com/producten/upfront-eiwit-milkshake-mango-330ml-707453FLS,2025-12-09 15:43:11
